Co,Man,Vac,X
MDG,JL,Measles,0
MDG,BB,BCG,0
MDG,BB,DTwP,0
MDG,BB,Measles,0
MDG,SII,BCG,2114788
MDG,SII,DTwP,0
MDG,SII,Measles,958484
MDG,AJ,BCG,0
MDG,AJ,DTwP,0
MDG,AJ,Measles,0
MDG,BF,BCG,0
MDG,BF,DTwP,0
MDG,BF,Measles,0
MDG,BE,BCG,0
MDG,BE,DTwP,0
MDG,BE,Measles,0
SYR,JL,BCG,0
SYR,JL,DTwP,0
SYR,JL,Measles,0
SYR,BB,BCG,1261502
SYR,BB,DTwP,0
SYR,BB,Measles,0
SYR,SII,BCG,0
SYR,SII,DTwP,0
SYR,SII,Measles,0
SYR,AJ,BCG,0
SYR,AJ,DTwP,0
SYR,AJ,Measles,0
SYR,BF,BCG,0
SYR,BF,DTwP,0
SYR,BF,Measles,0
SYR,BE,BCG,0
SYR,BE,DTwP,0
SYR,BE,Measles,0
