,Co,Co_code,2020
0,Somalia,SOM,25.33429879
1,Papua New Guinea,PNG,19.75671731
2,South Sudan,SSD,17.71361108
3,Chad,TCD,13.04467837
4,CAR,CRI,99.76721504
5,Nigeria,NGA,226.335504
6,Ethiopia,ETH,101.8007113
7,Yemen,YEM,56.49178552
8,Congo,COG,16.15839531
9,Sierra Leone,SLE,110.5151704
10,DRC,COD,39.50570301
11,Guinea,GIN,53.44616637
12,Haiti,HTI,413.7348694
13,Madagascar,MDG,47.59542626
14,Syria,SYR,95.30391004
