,ISO,val
0,SOM,50.8
1,PNG,27.8
2,SSD,0.0
3,TCD,39.6
4,CRI,43.0
5,NGA,28.3
6,ETH,24.1
7,YEM,45.1
8,COG,30.3
9,SLE,31.3
10,COD,39.0
11,GIN,0.0
12,HTI,32.8
13,MDG,36.3
14,SYR,0.0
